Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Akaki Gogia,de GER,"MF,FW",25,22,17,1469.0,16.3,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.12,0.18,0.31,0.12,0.31,Matches,2017-2018,Union Berlin
Damir Kreilach,hr CRO,MF,28,21,11,1121.0,12.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches,2017-2018,Union Berlin
Stephan Fürstner,de GER,MF,29,20,11,989.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Marvin Friedrich,de GER,DF,21,12,11,957.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.09,0.0,0.09,0.09,0.09,Matches,2017-2018,Union Berlin
Fabian Schönheim,de GER,DF,30,11,10,922.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2017-2018,Union Berlin
Dennis Daube,de GER,MF,28,16,9,864.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,2017-2018,Union Berlin
Philipp Hosiner,at AUT,FW,28,21,8,853.0,9.5,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.21,0.21,0.42,0.21,0.42,Matches,2017-2018,Union Berlin
Michael Parensen,de GER,"DF,MF",31,12,8,684.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2017-2018,Union Berlin
Peter Kurzweg,de GER,"DF,MF",23,9,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2017-2018,Union Berlin
Kenny Redondo,de GER,MF,22,9,3,314.0,3.5,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.57,0.29,0.86,0.57,0.86,Matches,2017-2018,Union Berlin
Christoph Schösswendter,at AUT,DF,29,3,2,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Atsuto Uchida,jp JPN,DF,29,2,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Lennard Maloney,us USA,DF,17,1,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Cihan Kahraman,tr TUR,MF,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Union Berlin
Lennart Moser,de GER,GK,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Union Berlin
Michael Gspurning,at AUT,GK,36,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Union Berlin
Berkan Taz,de GER,"FW,MF",18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Union Berlin
Lars Dietz,de GER,"DF,MF",20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Union Berlin
