Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,Unnamed: 33_level_0,Season,Team_Scraping,Playing Time.3
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Jon Pacheco,es ESP,DF,23,,22,16,1444.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,13.0,39.0,0.0,0.06,0.06,0.12,0.06,0.12,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025,Real Sociedad,16.0
Olasagasti,es ESP,MF,23,,34,14,1432.0,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,1.4,2.9,13.0,60.0,46.0,0.13,0.13,0.25,0.13,0.25,0.12,0.12,0.24,0.12,0.24,Matches,2024-2025,Real Sociedad,15.9
Beñat Turrientes,es ESP,MF,22,,31,15,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.2,20.0,62.0,37.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,Matches,2024-2025,Real Sociedad,15.9
Jon Martin,es ESP,DF,18,,17,9,1249.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.9,5.0,38.0,0.0,0.0,0.07,0.07,0.0,0.07,0.05,0.01,0.07,0.05,0.07,Matches,2024-2025,Real Sociedad,13.9
Hamari Traoré,ml MLI,DF,32,,13,9,755.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,12.0,27.0,20.0,0.0,0.12,0.12,0.0,0.12,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025,Real Sociedad,8.4
Unai Marrero,es ESP,GK,22,,8,8,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad,8.3
Umar Sadiq,ng NGA,FW,27,,11,5,486.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,6.0,8.0,26.0,0.0,0.19,0.19,0.0,0.19,0.13,0.14,0.28,0.13,0.28,Matches,2024-2025,Real Sociedad,5.4
Álvaro Odriozola,es ESP,DF,28,,8,5,419.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,4.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Real Sociedad,4.7
Arkaitz Mariezkurrena,es ESP,"FW,MF",19,,12,1,316.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.1,3.0,4.0,12.0,0.57,0.0,0.57,0.57,0.57,0.36,0.06,0.41,0.36,0.41,Matches,2024-2025,Real Sociedad,3.5
Urko González,es ESP,MF,23,,4,4,302.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,2024-2025,Real Sociedad,3.4
Jon Magunazelaia,es ESP,MF,23,,5,2,191.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,3.0,0.47,0.0,0.47,0.47,0.47,0.09,0.03,0.12,0.09,0.12,Matches,2024-2025,Real Sociedad,2.1
Luken Beitia,es ESP,DF,20,,2,1,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad,1.0
Jon Balda,es ESP,DF,22,,2,2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad,1.0
Arsen Zakharyan,ru RUS,"MF,FW",21,,4,1,81.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.0,3.0,6.0,1.11,1.11,2.22,1.11,2.22,0.22,0.8,1.01,0.22,1.01,Matches,2024-2025,Real Sociedad,0.9
Mikel Goti,es ESP,MF,22,,1,0,24.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,3.75,0.0,3.75,3.75,3.75,,,,,,Matches,2024-2025,Real Sociedad,0.3
Daniel Díaz,es ESP,MF,18,,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad,0.1
Iñaki Rupérez,es ESP,DF,21,,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Real Sociedad,0.1
Mikel Rodriguez,es ESP,MF,22,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad,
Ekain Orobengoa,es ESP,FW,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad,
Alex Marchal,es ESP,MF,16,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad,
Aitor Fraga,es ESP,GK,21,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad,
Egoitz Arana,es ESP,GK,22,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Víctor Laguardia,es ESP,DF,28,36,36,3240.0,36.0,1.0,2.0,3.0,1.0,0.0,0.0,13.0,0.0,1.7,1.7,1.0,2.7,11.0,92.0,11.0,0.03,0.06,0.08,0.03,0.08,0.05,0.03,0.08,0.05,0.08,Matches,2018-2019,Alaves,
Fernando Pacheco,es ESP,GK,26,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Alaves,
Jony,es ESP,"MF,FW",27,37,34,2982.0,33.1,5.0,11.0,16.0,5.0,0.0,0.0,3.0,0.0,4.6,4.6,9.6,14.2,119.0,76.0,220.0,0.15,0.33,0.48,0.15,0.48,0.14,0.29,0.43,0.14,0.43,Matches,2018-2019,Alaves,
Jonathan Calleri,ar ARG,FW,24,36,33,2907.0,32.3,9.0,2.0,11.0,7.0,2.0,2.0,6.0,0.0,8.5,6.9,3.6,10.5,63.0,76.0,189.0,0.28,0.06,0.34,0.22,0.28,0.27,0.11,0.38,0.22,0.33,Matches,2018-2019,Alaves,
Rubén Duarte,es ESP,DF,22,33,33,2772.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.7,0.7,1.7,2.3,34.0,105.0,81.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,2018-2019,Alaves,
Ximo Navarro,es ESP,DF,28,31,28,2533.0,28.1,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,1.5,2.2,35.0,68.0,38.0,0.07,0.07,0.14,0.07,0.14,0.02,0.05,0.08,0.02,0.08,Matches,2018-2019,Alaves,
Manu García,es ESP,MF,32,35,26,2420.0,26.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.9,2.9,0.7,3.6,19.0,97.0,35.0,0.04,0.04,0.07,0.04,0.07,0.11,0.03,0.14,0.11,0.14,Matches,2018-2019,Alaves,
Tomás Pina Isla,es ESP,MF,30,28,27,2340.0,26.0,2.0,0.0,2.0,2.0,0.0,0.0,13.0,0.0,1.4,1.4,1.2,2.7,12.0,132.0,14.0,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1,Matches,2018-2019,Alaves,
Guillermo Maripán,cl CHI,DF,24,25,24,2188.0,24.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,1.0,3.5,10.0,48.0,1.0,0.08,0.08,0.16,0.08,0.16,0.11,0.04,0.16,0.11,0.16,Matches,2018-2019,Alaves,
Martin Agirregabiria,es ESP,DF,22,28,24,2122.0,23.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,36.0,89.0,56.0,0.04,0.0,0.04,0.04,0.04,0.0,0.02,0.02,0.0,0.02,Matches,2018-2019,Alaves,
Darko Brašanac,rs SRB,MF,26,26,19,1760.0,19.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.4,1.0,24.0,67.0,28.0,0.0,0.05,0.05,0.0,0.05,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Alaves,
Wakaso,gh GHA,MF,28,29,18,1669.0,18.5,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.2,1.2,0.4,1.6,18.0,80.0,34.0,0.05,0.05,0.11,0.05,0.11,0.06,0.02,0.09,0.06,0.09,Matches,2018-2019,Alaves,
Borja Bastón,es ESP,FW,25,29,20,1601.0,17.8,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,6.2,6.2,1.3,7.5,10.0,16.0,75.0,0.28,0.06,0.34,0.28,0.34,0.39,0.08,0.47,0.39,0.47,Matches,2018-2019,Alaves,
Ibai Gómez,es ESP,"MF,FW",28,19,17,1459.0,16.2,3.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,3.3,2.5,2.1,4.6,19.0,41.0,73.0,0.19,0.12,0.31,0.19,0.31,0.21,0.13,0.34,0.16,0.29,Matches,2018-2019,Alaves,
Rubén Sobrino,es ESP,"FW,MF",26,22,12,1124.0,12.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.9,1.9,1.2,3.1,28.0,19.0,44.0,0.32,0.08,0.4,0.32,0.4,0.17,0.11,0.29,0.17,0.29,Matches,2018-2019,Alaves,
Takashi Inui,jp JPN,"MF,FW",30,12,10,828.0,9.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.2,2.2,0.6,2.8,21.0,20.0,53.0,0.22,0.0,0.22,0.22,0.22,0.24,0.07,0.31,0.24,0.31,Matches,2018-2019,Alaves,
Carlos Vigaray,es ESP,DF,23,10,9,827.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,5.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,Matches,2018-2019,Alaves,
John Guidetti,se SWE,FW,26,24,8,767.0,8.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,1.0,2.3,8.0,12.0,57.0,0.23,0.12,0.35,0.23,0.35,0.2,0.14,0.34,0.2,0.34,Matches,2018-2019,Alaves,
Burgui,es ESP,"MF,FW",24,18,7,735.0,8.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,13.0,28.0,39.0,0.12,0.24,0.37,0.12,0.37,0.13,0.09,0.21,0.13,0.21,Matches,2018-2019,Alaves,
Antonio Sivera,es ESP,GK,21,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2018-2019,Alaves,
Rodrigo Ely,br BRA,DF,24,5,5,430.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches,2018-2019,Alaves,
Adrián Marín,es ESP,"DF,MF",21,7,3,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,4.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2018-2019,Alaves,
Diego Rolán,uy URU,"MF,FW",25,9,3,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.2,16.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07,0.35,0.28,0.35,Matches,2018-2019,Alaves,
Patrick Twumasi,gh GHA,"MF,FW",24,13,0,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.3,6.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,2018-2019,Alaves,
Adrián Diéguez,es ESP,"DF,MF",22,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2018-2019,Alaves,
Daniel Torres,co COL,MF,28,3,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Alaves,
Alejandro Blanco,es ESP,"FW,MF",19,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Alaves,
Paulino,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Alaves,
Álex Domínguez,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Alaves,
Andrei Lupu,ro ROU,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Alaves,
Antonio Perera,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Alaves,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Nicolas Nkoulou,cm CMR,DF,27,39,39,3438.0,38.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.7,2.7,13.0,83.0,1.0,0.05,0.0,0.05,0.05,0.05,0.06,0.02,0.07,0.06,0.07,Matches,2017-2018,Torino,
Salvatore Sirigu,it ITA,GK,30,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Torino,
Lorenzo De Silvestri,it ITA,DF,29,39,38,3247.0,36.1,7.0,2.0,9.0,7.0,0.0,0.0,3.0,2.0,3.1,3.1,1.7,4.8,79.0,135.0,79.0,0.19,0.06,0.25,0.19,0.25,0.1,0.05,0.15,0.1,0.15,Matches,2017-2018,Torino,
Tomás Rincón,ve VEN,MF,29,38,36,3098.0,34.4,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.7,0.7,1.5,2.1,29.0,146.0,45.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,Matches,2017-2018,Torino,
Iago Falque,es ESP,"FW,MF",27,40,37,3058.0,34.0,14.0,8.0,22.0,14.0,0.0,0.0,2.0,0.0,8.6,8.6,6.8,15.5,85.0,123.0,278.0,0.41,0.24,0.65,0.41,0.65,0.28,0.22,0.49,0.28,0.49,Matches,2017-2018,Torino,
Andrea Belotti,it ITA,FW,23,35,32,2953.0,32.8,13.0,5.0,18.0,13.0,0.0,2.0,2.0,0.0,10.5,8.9,4.7,13.6,40.0,39.0,202.0,0.4,0.15,0.55,0.4,0.55,0.35,0.16,0.51,0.3,0.46,Matches,2017-2018,Torino,
Daniele Baselli,it ITA,MF,25,34,32,2661.0,29.6,4.0,0.0,4.0,4.0,0.0,0.0,13.0,2.0,3.8,3.8,1.5,5.3,29.0,138.0,77.0,0.14,0.0,0.14,0.14,0.14,0.14,0.05,0.19,0.14,0.19,Matches,2017-2018,Torino,
Adem Ljajić,rs SRB,"MF,FW",25,28,24,2256.0,25.1,6.0,10.0,16.0,6.0,0.0,0.0,2.0,0.0,4.3,4.2,8.4,12.6,90.0,149.0,147.0,0.24,0.4,0.64,0.24,0.64,0.18,0.35,0.53,0.18,0.53,Matches,2017-2018,Torino,
Nicolás Burdisso,ar ARG,DF,36,25,24,2159.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.7,1.7,0.2,1.9,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.08,0.08,Matches,2017-2018,Torino,
Emiliano Moretti,it ITA,DF,36,24,21,1962.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.5,1.0,7.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,2017-2018,Torino,
Cristian Molinaro,it ITA,DF,34,24,21,1924.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,45.0,94.0,48.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018,Torino,
Cristian Ansaldi,ar ARG,DF,30,25,20,1872.0,20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.7,0.7,3.6,4.4,78.0,87.0,88.0,0.05,0.14,0.19,0.05,0.19,0.04,0.18,0.21,0.04,0.21,Matches,2017-2018,Torino,
M'Baye Niang,sn SEN,FW,22,29,21,1736.0,19.3,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,4.7,4.7,1.1,5.8,79.0,34.0,155.0,0.21,0.16,0.36,0.21,0.36,0.27,0.07,0.34,0.27,0.34,Matches,2017-2018,Torino,
Joel Obi,ng NGA,MF,26,25,18,1437.0,16.0,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,3.5,3.5,0.2,3.7,17.0,55.0,26.0,0.38,0.06,0.44,0.38,0.44,0.26,0.02,0.28,0.26,0.28,Matches,2017-2018,Torino,
Afriyie Acquah,gh GHA,MF,25,26,13,1273.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.6,1.0,24.0,60.0,24.0,0.07,0.0,0.07,0.07,0.07,0.04,0.06,0.1,0.04,0.1,Matches,2017-2018,Torino,
Álex Berenguer,es ESP,FW,22,25,13,1242.0,13.8,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.2,3.2,44.0,41.0,109.0,0.14,0.29,0.43,0.14,0.43,0.08,0.19,0.27,0.08,0.27,Matches,2017-2018,Torino,
Mirko Valdifiori,it ITA,MF,31,15,9,785.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,2.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,Matches,2017-2018,Torino,
Kevin Bonifazi,it ITA,"DF,MF",21,7,5,498.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2017-2018,Torino,
Lyanco,br BRA,DF,20,6,6,496.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2017-2018,Torino,
Antonio Barreca,it ITA,DF,22,9,3,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,7.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2017-2018,Torino,
Simone Edera,it ITA,"FW,MF",20,17,3,444.0,4.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,11.0,12.0,32.0,0.41,0.2,0.61,0.41,0.61,0.08,0.04,0.13,0.08,0.13,Matches,2017-2018,Torino,
Vanja Milinković-Savić,rs SRB,GK,20,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Torino,
Umar Sadiq,ng NGA,FW,20,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches,2017-2018,Torino,
Lucas Boyé,ar ARG,FW,21,14,0,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,6.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches,2017-2018,Torino,
Davide Zappacosta,it ITA,"DF,FW",25,3,2,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2017-2018,Torino,
Samuel Gustafson,se SWE,"MF,FW",22,5,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Torino,
Saša Lukić,rs SRB,MF,20,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Torino,
Manuel De Luca,it ITA,FW,19,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Torino,
Alessandro Buongiorno,it ITA,DF,18,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Torino,
Danilo Avelar,br BRA,"DF,MF",28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Luca Rossettini,it ITA,DF,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Domenico Coppola,it ITA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Alessandro Fiordaliso,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Vittorio Parigini,it ITA,"FW,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Ben Lhassine Kone,ci CIV,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Vincenzo Millico,it ITA,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Erick Ferigra,ec ECU,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Leonardo Rivoira,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Michel Ndary Adopo,fr FRA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Salvador Ichazo,uy URU,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Karlo Butić,hr CRO,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Mattia Aramu,it ITA,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Torino,
Player,Nation,Pos,Age,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,90s
Conor Gallagher,eng ENG,MF,23,,50,46,4061.0,7.0,9.0,16.0,7.0,0.0,0.0,10.0,1.0,4.2,4.2,5.0,9.2,62.0,172.0,122.0,0.16,0.2,0.35,0.16,0.35,0.12,0.15,0.27,0.12,0.27,Matches,2023-2024,Chelsea,45.1
Moisés Caicedo,ec ECU,MF,21,,48,44,3922.0,1.0,4.0,5.0,1.0,0.0,0.0,14.0,0.0,0.4,0.4,2.6,3.0,27.0,173.0,27.0,0.02,0.09,0.11,0.02,0.11,0.01,0.08,0.09,0.01,0.09,Matches,2023-2024,Chelsea,43.6
Axel Disasi,fr FRA,DF,25,,44,41,3688.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.4,2.4,0.3,2.7,30.0,112.0,21.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Matches,2023-2024,Chelsea,41.0
Cole Palmer,eng ENG,"FW,MF",21,,45,40,3629.0,25.0,15.0,40.0,16.0,9.0,9.0,8.0,0.0,18.2,11.1,11.1,22.2,117.0,197.0,195.0,0.62,0.37,0.99,0.4,0.77,0.63,0.38,1.01,0.38,0.77,Matches,2023-2024,Chelsea,40.3
Nicolas Jackson,sn SEN,FW,22,,44,39,3518.0,17.0,6.0,23.0,17.0,0.0,0.0,10.0,0.0,18.6,18.6,4.3,22.9,70.0,67.0,200.0,0.43,0.15,0.59,0.43,0.59,0.6,0.14,0.74,0.6,0.74,Matches,2023-2024,Chelsea,39.1
