MatchStatID,ClubID,OpponentClubID,SeasonID,CapitainPlayerID,DateID,MatchProfileID,Venue,GoalsFor,GoalsAgainst,Result,ExpectedGoals,ExpectedGoalsAllowed,Possession,Attendance,Formation,OpponentFormation,Referee
2162,194,196,2019/20,37054,2020-02-09,773,Away,3.0,2.0,Won,1.70000004768372,1.0,70.0,54526.0,4-1-2-1-2?,4-1-4-1,José Sánchez
2163,319,196,2021/22,34951,2022-01-21,772,Home,1.0,4.0,Lost,1.39999997615814,2.40000009536743,38.0,17637.0,4-2-3-1,4-2-3-1,Alberola Rojas
2164,255,196,2020/21,39049,2020-09-26,780,Away,3.0,2.0,Won,3.79999995231628,1.20000004768372,55.0,-1.0,4-3-1-2,4-2-3-1,Ricardo de Burgos
2165,339,196,2022/23,36497,2022-10-09,794,Home,0.0,0.0,Draw,0.600000023841858,0.5,58.0,22561.0,4-3-3,4-2-3-1,Carlos del Cerro
2166,191,196,2021/22,36156,2022-03-06,777,Away,3.0,1.0,Won,2.79999995231628,1.0,35.0,44383.0,5-3-2,4-2-3-1,Guillermo Cuadra
2167,210,196,2018/19,34932,2019-01-24,686,Home,1.0,1.0,Draw,-1.0,-1.0,39.0,13381.0,4-3-3,3-5-2,Antonio Matéu Lahoz
2168,261,196,2022/23,36036,2023-05-21,786,Home,0.0,0.0,Draw,1.10000002384186,0.100000001490116,54.0,41392.0,4-2-3-1,4-2-3-1,Jesús Gil
2169,271,196,2024/25,37950,2025-05-23,789,Away,1.0,1.0,Draw,0.699999988079071,0.899999976158142,53.0,51141.0,4-2-3-1,4-2-3-1,Víctor García
2170,194,196,2022/23,39033,2023-02-01,766,Away,2.0,1.0,Won,1.89999997615814,0.600000023841858,63.0,48181.0,4-3-3,4-2-3-1,Ricardo de Burgos
2171,204,196,2022/23,35881,2023-02-04,770,Away,4.0,3.0,Won,1.89999997615814,3.40000009536743,45.0,46595.0,4-4-2,4-2-3-1,Carlos del Cerro
2172,301,196,2023/24,34818,2023-10-29,760,Away,1.0,2.0,Lost,0.400000005960464,1.20000004768372,49.0,49123.0,4-2-3-1,4-2-3-1,José Sánchez
2173,274,196,2017/18,37471,2018-02-03,772,Away,1.0,2.0,Lost,1.5,0.5,46.0,50102.0,4-1-2-1-2?,3-5-2,Alberola Rojas
2174,190,196,2017/18,37502,2017-12-22,766,Away,2.0,0.0,Won,2.79999995231628,1.20000004768372,48.0,42713.0,4-2-3-1,4-2-3-1,Juan Martínez
2175,210,196,2019/20,34822,2019-12-15,766,Home,2.0,2.0,Draw,1.39999997615814,0.899999976158142,39.0,22248.0,3-4-1-2,4-1-4-1,Guillermo Cuadra
2176,301,196,2021/22,34818,2022-04-03,781,Away,1.0,4.0,Lost,0.400000005960464,4.40000009536743,46.0,49103.0,4-3-3,4-2-3-1,Valentín Pizarro
